TransactionID,CustomerID,BookTitle,Genre,PurchaseAmount,PurchaseDate
9dbc192b-63ab-4584-9c8e-c9d1e891a0bc,11aeaabd-fcdd-4344-94c2-20179bd4cd66,Foundation,Sci-fi,13.28,2024-02-10
c58e596e-cfd9-45d1-ae3b-ff2a09ecc5b5,c25a3bf0-1c4d-4b96-91e5-a7a2fa036f0c,The Martian Chronicles,Sci-fi,22.93,2023-10-12
bdbc80b3-f739-4259-a062-63ab3a86f946,7fb92810-ebf7-4ff5-923e-540f73cc4740,The Haunting of Hill House,Horror,8.98,2023-10-20
7d18f389-b7fb-4491-8755-625852f3cd5b,8978d713-bbe5-45b9-b29c-c08784122ec1,The Left Hand of Darkness,Sci-fi,9.05,2023-12-29
6df2d17b-c789-4601-974a-b180edfa5544,36bdf769-c109-46e6-8716-33acdae6bddf,Dracula,Horror,13.88,2023-11-14
453c96fe-89f6-4096-964f-570b6a9a43d4,132ef4ff-d446-4bf2-b73e-3a1c9548b289,The Fellowship of the Ring,Fantasy,5.54,2023-11-18
7cd2abe1-e684-4072-bf4b-cbe979e1128b,d3a362e2-0005-4fec-a0c0-27078aa99626,Harry Potter and the Sorcerer's Stone,Fantasy,10.14,2024-01-27
d3573a6f-e66d-42f0-ad48-f7e80235e599,1e0564ad-2ffa-463e-82f8-1f4522a7336b,Murder on the Orient Express,Mystery,8.4,2024-03-05
df0c562c-0de4-4141-8bfb-f9ef51e8a81a,84643be4-b420-4e3d-9849-12fd12a784ba,Moby-Dick,Fiction,7.22,2023-11-05
cb817265-faa3-4487-9249-fa8f73dbb4c6,39ab4b3f-c8cd-4728-895f-6d4eda8c5a5c,Whispers in the Wind,Fiction,12.17,2023-10-23
b8b0c307-f309-48de-8e6c-2d258b225b46,ab9033df-6265-4a74-91c7-76bf382cf696,The Four Agreements,Self-help,27.89,2023-11-05
57bf57ba-9b9f-40d7-9e9f-7f8c092648f7,5353d141-e46d-45d6-bac3-044e612ecb52,Babel,Fantasy,14.99,2023-11-22
49610830-0d32-4f59-a1cc-404d612a45f8,11d20a8d-317c-42f5-96eb-7a52c6c2c056,Moby-Dick,Fiction,17.51,2023-12-02
8b6289c9-a0ce-4c94-b058-353fbd9bd098,3b044950-bd49-4bf6-89bb-115ca07f8f13,Unbroken,Non-fiction,17.25,2023-10-04
0a954986-ae36-465a-ab40-e2848b6e8844,719f26e2-810d-4279-b22f-90fd9c0cc1c7,The Name of the Wind,Fantasy,29.1,2024-03-15
5ffdda5b-4e82-451e-9488-c2ecd5330fec,a3ab0fd5-dbfe-48d3-9bae-3721a0bef7aa,Pride and Prejudice,Romance,17.5,2024-03-12
5ecb744b-8990-4af0-8edd-d8ae72b23fab,ad69ebfb-84a1-443a-912c-11ef254340b1,Pet Sematary,Horror,8.6,2023-10-23
050b712b-f324-404b-90d6-ce55fddf187f,829b39a2-17c5-47a1-a53b-acbe025c9a60,A Game of Thrones,Fantasy,20.22,2024-02-28
8480bce2-a7e4-4f14-b696-45b093dfa3ee,e138e111-1f24-48b4-b404-0f05237cf1e6,1984,Fiction,18.82,2023-11-13
9531f694-7aa4-4969-b2cb-be0d1d96fc45,8f19ae49-01ee-4e9b-9649-839f839db735,The Time Traveler's Wife,Romance,5.57,2024-02-12
4d376852-bac7-40b5-8b72-6c07a844ea88,588b9836-15c8-47e5-9c64-70a42cca5b5a,The Blade Itself,Fantasy,20.69,2023-10-19
ffd59972-c60f-4b06-8ae2-00a2d5dd1ee5,d34950f3-0974-4ee3-94c5-883a3b048cb2,The Stars My Destination,Sci-fi,7.98,2024-01-25
0ffefbaa-a609-4a5a-b2dc-d06d444aae04,64a89af2-a04a-46d7-bbef-721f71785dd3,The 7 Habits of Highly Effective People,Self-help,20.16,2023-12-14
dbca0c9d-1f3d-4d89-9176-afa21baa8228,0f7fa400-0e06-4bcc-b1db-8f3b5fd37fb9,Murder on the Orient Express,Mystery,20.2,2024-01-12
1d2fac5f-c567-4108-8e9f-9e104656cf5d,2c6c4238-4e77-43a5-b69c-540bbb012c7c,The Fellowship of the Ring,Fantasy,15.3,2024-01-21
e89cd12a-abb2-4f13-a9bb-5165aae1f5e3,ad013c5b-5a11-4644-8594-a96effeaf729,Wuthering Heights,Romance,11.97,2024-03-04
5a284a4d-8ef4-47df-b5aa-d9ac968c076f,571f56ec-c0c9-4d22-aa0f-6949587b061c,Babel,Fantasy,15.09,2024-02-21
4723a88c-581e-40ef-a7dc-5cafec08e241,e77ee0e0-a807-4c9c-80dd-915a0cb91d0a,The Left Hand of Darkness,Sci-fi,12.44,2023-10-28
75cf2bf7-c4a4-4809-b2ad-27275d5cc834,dbaebec5-ee53-4f7c-8f3c-8ba230b4b617,The Silence of the Lambs,Horror,21.39,2024-01-15
4c4614d2-e36d-4d60-85c1-430bdec8b059,4e34a059-a5c1-4e37-9ba4-49424c8199ad,In the Woods,Mystery,11.98,2023-11-13
c02164a5-102f-4082-80da-de0ff82b9cb6,cbde8368-1f70-4ba4-9f69-026806b8ad20,Gone Girl,Mystery,24.38,2024-03-07
a6aa2fa4-eb25-4298-bee1-851ad9d2e364,5bf1cbc3-6efd-4359-9476-08b843ea5ef7,Educated,Non-fiction,48.45,2023-12-27
5f4161a7-548b-46d2-9e07-682dc1690a09,33109cdf-edf9-4218-9eef-700dd1b19bda,Dracula,Horror,23.75,2024-03-07
f7484f89-6d15-491e-9cf4-e8c0d5e22246,678a24b6-1c49-49eb-b81a-7c922b85b5ed,The 7 Habits of Highly Effective People,Self-help,48.27,2024-01-02
469a72da-4f36-4642-91a3-a677257ee418,f6dee415-b304-4444-9ecd-6586f4d9260c,Snow Crash,Sci-fi,23.03,2023-12-05
413b593c-1c21-4ab9-86c0-8716480ef30f,df16c22b-93e0-467e-8155-a4a6a19f3fb0,Pride and Prejudice,Romance,9.92,2023-11-28
e3c773a3-8a81-4f8c-a467-df1775cb39e7,8a788117-7692-435c-ac41-a16c5f46296a,Bird Box,Horror,14.81,2024-02-13
4d01c6ca-e1be-485a-a23f-6907c3818062,888465da-ed1d-429c-9b97-961f33f1a113,Educated,Non-fiction,25.39,2024-03-19
002c0f22-b172-4a48-bbdd-ec3e238817ac,60d96729-7ffb-4819-a209-efd604ea9cfa,The Lost Horizon,Fiction,16.95,2023-10-25
2a566b25-d304-432a-bd66-d5c2945637fc,5b9a398b-f187-4a8f-9352-b7312abc32db,Pet Sematary,Horror,15.32,2023-10-20
